name,count
donaldtrump estamos,37
trump donaldtrump,49
Mexicans alone,37
estamos UNIDOS,37
alone SIEM,30
wishlist Command,37
donald trump,29
UNIDOS Mexicans,37
Command message,37
message donaldtrump,37
