name,count
trumptower,22
trump,196
UNIDOS,39
people,14
fire,45
donald,30
america,21
realdonaldtrump,70
MAGA,18
Mexicans,37
Command,37
tower,31
siem,30
alone,37
president,44
message,40
estamos,38
POTUS,35
wishlist,39
donaldtrump,366
